time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-06-18T08:50:25.420Z,36.732,137.016,264,4,mb,48,,,0.88,us,usp0009usk,2014-11-07T01:10:23.289Z,"1 km S of Takaoka, Japan",earthquake,,4.5,,14,reviewed,us,us
2001-10-28T01:09:34.460Z,36.461,137.502,10,4,mb,6,,,0.42,us,usp000arsh,2014-11-07T01:14:04.343Z,"29 km SSE of Kamiichi, Japan",earthquake,,,,1,reviewed,us,us
2002-08-23T08:12:26.050Z,36.487,137.09,275.1,4.2,mb,39,,,1.12,us,usp000bafg,2014-11-07T01:16:19.481Z,"9 km SSW of Yatsuomachi-higashikumisaka, Japan",earthquake,,4.8,,11,reviewed,us,us
2002-11-10T05:20:26.140Z,36.27,137.433,256,3.5,mb,10,,,1.22,us,usp000bh9t,2014-11-07T01:17:06.072Z,"22 km NE of Takayama, Japan",earthquake,,7.5,,1,reviewed,us,us
2002-11-17T04:47:52.320Z,36.269,136.459,10,4.6,mb,54,,,0.83,us,usp000bhuz,2014-11-07T01:17:08.692Z,"14 km S of Komatsu, Japan",earthquake,,,,26,reviewed,us,us
2002-12-16T06:31:17.560Z,37.123,137.407,262.2,4.7,mb,12,,,0.78,us,usp000bkt3,2014-11-07T01:17:22.037Z,"22 km NNW of Ny?zen, Japan",earthquake,,8.1,,1,reviewed,us,us
2003-08-10T15:43:11.770Z,36.303,137.031,265.9,4.1,mb,21,100.2,,1.31,us,usp000c4jw,2014-11-07T01:19:29.799Z,"27 km NW of Takayama, Japan",earthquake,,6.7,,2,reviewed,us,us
2003-08-18T05:53:33.790Z,37.382,137.669,10,4.2,mb,15,117.2,,0.98,us,usp000c57u,2014-11-07T01:19:32.656Z,"41 km NNW of Itoigawa, Japan",earthquake,,,,1,reviewed,us,us
2003-08-18T06:09:59.470Z,37.303,137.618,18.6,4.4,mb,16,117.4,,0.63,us,usp000c57y,2014-11-07T01:19:32.664Z,"36 km NW of Itoigawa, Japan",earthquake,,,,1,reviewed,us,us
2003-10-12T04:16:40.140Z,37.273,136.707,33,4.6,mb,7,207.2,,0.22,us,usp000ca6w,2014-11-07T01:20:11.261Z,"33 km NW of Nanao, Japan",earthquake,,,,1,reviewed,us,us
2004-03-01T07:19:21.590Z,36.524,137.425,232.6,3.8,mb,22,118.3,,0.39,us,usp000cnt9,2014-11-07T01:21:35.339Z,"20 km SSE of Kamiichi, Japan",earthquake,,4.2,,2,reviewed,us,us
2004-03-14T07:21:52.190Z,36.608,137.21,260,4.3,mb,15,88.8,,0.9,us,usp000cpx0,2014-11-07T01:21:42.086Z,"8 km ENE of Yatsuomachi-higashikumisaka, Japan",earthquake,,7.5,,2,reviewed,us,us
